"","BEGIN_IMAGE_NUM","CMTE_NM","CMTE_ID","RECEIPT_DT","lobbyist_registrant_pac"
"3240",11932461303,"GENERAL CIGAR COMPANY INC. POLITICAL ACTION COMMITTEE (GENERAL CIGAR PAC)","C00488320","20-SEP-11","Y"
"3241",13940928346,"GENERAL CIGAR COMPANY INC. POLITICAL ACTION COMMITTEE (GENERAL CIGAR PAC)","C00488320","20-JUN-13","Y"
"3242",201507219000350016,"GENERAL CIGAR COMPANY INC. POLITICAL ACTION COMMITTEE (GENERAL CIGAR PAC)","C00488320","21-JUL-15","Y"
"3243",11953208006,"GENERAL CIGAR COMPANY INC. POLITICAL ACTION COMMITTEE (GENERAL CIGAR PAC)","C00488320","08-DEC-11","Y"
"3244",10030414462,"GENERAL CIGAR COMPANY INC. POLITICAL ACTION COMMITTEE (GENERAL CIGAR PAC)","C00488320","31-AUG-10","Y"
"3245",11932082452,"GENERAL CIGAR COMPANY INC. POLITICAL ACTION COMMITTEE (GENERAL CIGAR PAC)","C00488320","27-JUL-11","Y"
"3246",201703029050590304,"GENERAL CIGAR COMPANY INC. POLITICAL ACTION COMMITTEE (GENERAL CIGAR PAC)","C00488320","02-MAR-17","Y"
"3247",201703029050590272,"GENERAL CIGAR COMPANY INC. POLITICAL ACTION COMMITTEE (GENERAL CIGAR PAC)","C00488320","02-MAR-17","Y"
"3248",11930657631,"GENERAL CONTRACTORS ASSOCIATION OF NEW YORK INC. PAC - FEDERAL","C00445809","14-APR-11","Y"
"3249",29933375542,"GENERAL CONTRACTORS ASSOCIATION OF NEW YORK INC. PAC - FEDERAL","C00445809","20-MAR-09","Y"
"3250",10930106112,"GENERAL CONTRACTORS ASSOCIATION OF NEW YORK INC. PAC - FEDERAL","C00445809","25-JAN-10",""
"3251",29933410800,"GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GDC PAC)","C00078451","06-APR-09","Y"
"3252",29933355969,"GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GDC PAC)","C00078451","16-MAR-09","Y"
"3253",11971552669,"GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GDC PAC)","C00078451","03-OCT-11","Y"
"3254",11953315363,"GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GDC PAC)","C00078451","20-DEC-11","Y"
"3255",12950441453,"GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GDC PAC)","C00078451","07-FEB-12","Y"
"3256",12950659345,"GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GDC PAC)","C00078451","27-FEB-12","Y"
"3257",14940097026,"GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GDC PAC)","C00078451","27-JAN-14","Y"
"3258",201804049098813312,"GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GDC PAC)","C00078451","04-APR-18","Y"
"3259",201606149017580416,"GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE (GEPAC)","C00024869","14-JUN-16","Y"
"3260",201610279034718560,"GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE (GEPAC)","C00024869","27-OCT-16","Y"
"3261",201712149089199808,"GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE (GEPAC)","C00024869","14-DEC-17","Y"
"3262",11932430715,"GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE (GEPAC)","C00024869","19-SEP-11","Y"
"3263",29992567635,"GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE (GEPAC)","C00024869","04-AUG-09","Y"
"3264",29933378967,"GENERAL ELECTRIC COMPANY POLITICAL ACTION COMMITTEE (GEPAC)","C00024869","20-MAR-09","Y"
